PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
1. Connor McDavid,Connor.McDavid,22,C,Left,64,34,63,97,1.52,-6,212,0.16,21:51,12500000,"$15,000,000 "
2. Artemi Panarin,Artemi.Panarin,27,LW,Right,69,32,63,95,1.38,36,209,0.15,20:36,11642857,"$14,000,000 "
3. Auston Matthews,Auston.Matthews,21,C,Left,70,47,33,80,1.14,19,290,0.16,20:58,11634000,"$15,900,000 "
4. Erik Karlsson,Erik.Karlsson,29,RD,Right,56,6,34,40,0.71,-15,120,0.05,24:31:00,11500000,"$14,500,000 "
5. Drew Doughty,Drew.Doughty,29,RD,Right,67,7,28,35,0.52,-16,141,0.05,25:49:00,11000000,"$12,000,000 "
6. John Tavares,John.Tavares,28,C,Left,63,26,34,60,0.95,-7,197,0.13,19:32,11000000,"$15,900,000 "
7. Mitchell Marner,Mitchell.Marner,22,RW,Right,59,16,51,67,1.14,6,154,0.1,21:33,10893000,"$16,000,000 "
9. Jonathan Toews,Jonathan.Toews,31,C,Left,70,18,42,60,0.86,-2,172,0.1,19:46,10500000,"$9,800,000 "
10. Patrick Kane,Patrick.Kane,30,RW,Left,70,33,51,84,1.2,8,275,0.12,21:20,10500000,"$9,800,000 "
12. Jack Eichel,Jack.Eichel,22,C,Right,68,36,42,78,1.15,5,227,0.16,22:06,10000000,"$10,000,000 "
13. Anze Kopitar,Anze.Kopitar,31,C,Left,70,21,41,62,0.89,6,135,0.16,21:02,10000000,"$11,000,000 "
14. Tyler Seguin,Tyler.Seguin,27,"C, RW",Right,69,17,33,50,0.72,-2,245,0.07,19:08,9850000,"$13,500,000 "
15. Alex Ovechkin,Alex.Ovechkin,33,"LW, RW",Right,68,48,19,67,0.99,-12,311,0.15,20:39,9538462,"$10,000,000 "
16. Jamie Benn,Jamie.Benn,29,"LW, C",Left,69,19,20,39,0.57,-4,163,0.12,16:26,9500000,"$13,000,000 "
17. Nikita Kucherov,Nikita.Kucherov,26,RW,Left,68,33,52,85,1.25,26,210,0.16,18:51,9500000,"$12,000,000 "
18. Evgeni Malkin,Evgeni.Malkin,32,C,Left,55,25,49,74,1.35,7,171,0.15,19:31,9500000,"$9,500,000 "
19. Mark Stone,Mark.Stone,27,RW,Right,65,21,42,63,0.97,15,168,0.13,19:24,9500000,"$12,000,000 "
20. Mikko Rantanen,Mikko.Rantanen,22,"RW, C",Left,42,19,22,41,0.98,-2,107,0.18,18:56,9250000,"$12,000,000 "
21. P.K. Subban,Pubban.Subban,30,RD,Right,68,7,11,18,0.26,-21,151,0.05,22:07,9000000,"$10,000,000 "
22. Jeff Skinner,Jeff.Skinner,27,"LW, RW",Left,59,14,9,23,0.39,-22,183,0.08,16:29,9000000,"$10,000,000 "
23. Sidney Crosby,Sidney.Crosby,31,C,Left,41,16,31,47,1.15,-8,109,0.15,20:16,8700000,"$9,000,000 "
24. Leon Draisaitl,Leon.Draisaitl,23,"C, LW",Left,71,43,67,110,1.55,-7,218,0.2,22:36,8500000,"$9,000,000 "
26. Steven Stamkos,Steven.Stamkos,29,"RW, C, LW",Right,57,29,37,66,1.16,14,176,0.16,18:25,8500000,"$9,500,000 "
27. Sebastian Aho,Sebastian.Aho,21,"C, LW",Left,68,38,28,66,0.97,10,206,0.18,19:25,8454000,"$12,000,000 "
28. Claude Giroux,Claude.Giroux,31,"C, RW",Right,69,21,32,53,0.77,7,197,0.11,18:59,8275000,"$8,000,000 "
29. Ryan Getzlaf,Ryan.Getzlaf,34,C,Right,69,13,29,42,0.61,-16,143,0.09,18:43,8250000,"$8,275,000 "
30. Jakub Voracek,Jakub.Voracek,29,"RW, LW",Left,69,12,44,56,0.81,14,132,0.09,17:02,8250000,"$9,250,000 "
31. Blake Wheeler,Blake.Wheeler,32,"RW, C",Right,71,22,43,65,0.92,1,180,0.12,19:19,8250000,"$10,000,000 "
32. Oliver Ekman-Larsson,Oliver.Larsson,27,LD,Left,66,9,21,30,0.45,-3,135,0.07,23:00,8250000,"$8,000,000 "
33. Matt Duchene,Matt.Duchene,28,"C, LW, RW",Left,66,13,29,42,0.64,-4,136,0.1,16:52,8000000,"$10,000,000 "
34. Phil Kessel,Phil.Kessel,31,RW,Right,70,14,24,38,0.54,-21,153,0.09,17:08,8000000,"$7,000,000 "
35. Logan Couture,Logan.Couture,30,"C, LW",Left,52,16,23,39,0.75,0,126,0.13,18:31,8000000,"$10,000,000 "
36. Ryan Johansen,Ryan.Johansen,26,"C, RW",Right,68,14,22,36,0.53,-5,101,0.14,17:03,8000000,"$8,000,000 "
37. John Carlson,John.Carlson,29,RD,Right,69,15,60,75,1.09,12,189,0.08,24:37:00,8000000,"$12,000,000 "
38. Brent Burns,Brent.Burns,34,RD,Right,70,12,33,45,0.64,-22,225,0.05,25:24:00,8000000,"$10,000,000 "
39. Jacob Trouba,Jacob.Trouba,25,RD,Right,70,7,20,27,0.39,-12,168,0.04,22:33,8000000,"$12,000,000 "
40. Victor Hedman,Victor.Hedman,28,LD,Left,66,11,44,55,0.83,27,155,0.07,24:03:00,7875000,"$8,000,000 "
41. Shea Weber,Shea.Weber,33,RD,Right,65,15,21,36,0.55,8,185,0.08,24:00:00,7857143,"$6,000,000 "
42. Evgeny Kuznetsov,Evgeny.Kuznetsov,27,C,Left,63,19,33,52,0.83,-2,129,0.15,17:50,7800000,"$8,400,000 "
43. Dustin Byfuglien,Dustin.Byfuglien,34,RD,Right,0,0,0,0,0,0,0,0,,7600000,"$8,000,000 "
44. Zach Parise,Zach.Parise,34,LW,Left,69,25,21,46,0.67,-11,155,0.16,17:11,7538462,"$9,000,000 "
45. Ryan Suter,Ryan.Suter,34,LD,Left,69,8,40,48,0.7,-6,111,0.07,24:38:00,7538462,"$9,000,000 "
46. Vladimir Tarasenko,Vladimir.Tarasenko,27,RW,Left,10,3,7,10,1,-2,26,0.12,16:10,7500000,"$9,500,000 "
47. Ryan O'Reilly,Ryan.O'Reilly,28,C,Left,71,12,49,61,0.86,11,118,0.1,20:34,7500000,"$6,000,000 "
48. Aaron Ekblad,Aaron.Ekblad,23,RD,Right,67,5,36,41,0.61,12,147,0.03,22:58,7500000,"$9,000,000 "
49. David Krejci,David.Krejci,33,C,Right,61,13,30,43,0.7,14,83,0.16,17:10,7250000,"$7,000,000 "
50. Kris Letang,Kris.Letang,32,RD,Right,61,15,29,44,0.72,0,177,0.08,25:43:00,7250000,"$7,250,000 "
51. Bobby Ryan,Bobby.Ryan,32,"RW, LW",Right,24,5,3,8,0.33,3,43,0.12,13:31,7250000,"$7,500,000 "
52. Kevin Hayes,Kevin.Hayes,27,C,Left,69,23,18,41,0.59,-6,175,0.13,17:43,7142857,"$9,000,000 "
53. Kyle Connor,Kyle.Connor,22,LW,Left,71,38,35,73,1.03,4,239,0.16,21:05,7142857,"$7,500,000 "
54. Joe Pavelski,Joe.Pavelski,34,"RW, C",Right,67,14,17,31,0.46,6,125,0.11,16:55,7000000,"$8,000,000 "
56. James van Riemsdyk,James.Riemsdyk,30,"LW, RW",Left,66,19,21,40,0.61,5,151,0.13,14:54,7000000,"$8,000,000 "
57. Evander Kane,Evander.Kane,27,"LW, RW",Left,64,26,21,47,0.73,-12,216,0.12,19:32,7000000,"$8,000,000 "
59. Anders Lee,Anders.Lee,28,"LW, C",Left,68,20,23,43,0.63,8,195,0.1,18:17,7000000,"$9,000,000 "
60. Matthew Tkachuk,Matthew.Tkachuk,21,"LW, RW",Left,69,23,38,61,0.88,-5,188,0.12,18:18,7000000,"$5,000,000 "
61. Marc-Édouard Vlasic,Marc.Vlasic,32,LD/RD,Left,70,5,10,15,0.21,-10,74,0.07,20:17,7000000,"$7,250,000 "
